Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,Interest Rate (%),Compliance Score
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5876,3.94,51.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5338,13.2,69.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7710,6.56,68.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6563,12.08,55.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2279,14.57,83.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3907,1.5,96.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3792,7.58,94.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3676,12.28,53.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4759,13.28,64.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4648,3.74,55.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8382,4.24,78.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1468,14.54,65.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8047,10.58,88.02
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8201,13.65,70.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7270,12.2,99.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7428,13.35,92.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4352,8.52,79.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1503,14.79,90.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3143,6.49,75.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9781,3.77,83.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6641,10.99,86.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4616,13.52,58.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6770,3.57,98.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7519,8.96,82.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5604,6.72,63.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9204,14.89,69.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7498,11.31,74.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5530,2.36,77.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3743,5.37,93.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7575,10.42,67.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1016,3.83,74.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3392,14.07,70.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9167,4.78,73.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8622,13.31,50.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2841,6.35,69.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1839,10.97,83.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1410,12.22,98.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6103,14.76,99.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6446,12.96,95.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5969,5.8,56.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1031,14.9,80.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6287,6.3,88.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1368,6.85,80.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1364,6.64,97.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3000,6.72,60.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1236,13.95,89.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7648,9.49,63.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2063,4.84,98.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5472,0.53,73.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1322,0.69,91.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7025,5.66,75.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1229,2.07,63.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2782,13.2,86.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8064,3.46,94.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5629,14.9,73.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5103,10.84,81.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5608,3.48,71.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4124,8.43,96.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8961,13.05,50.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5186,12.64,95.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3882,12.99,92.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4989,11.47,73.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3765,8.61,99.5
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2944,13.69,63.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9590,3.5,91.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6560,5.39,50.94
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4897,7.29,65.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1709,6.14,75.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6543,6.35,60.91
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6992,9.84,82.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8308,2.81,54.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8995,14.25,57.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3081,6.06,87.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3260,10.82,82.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1065,9.44,54.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2803,10.27,70.61
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3296,1.41,99.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7423,4.93,64.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7725,3.49,91.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6104,6.6,97.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9444,0.52,93.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3957,5.55,59.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8621,5.93,63.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3256,8.26,62.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3546,8.3,64.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3867,13.87,90.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5402,5.23,72.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5095,4.39,78.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8819,1.53,96.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2269,0.6,58.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4809,3.51,99.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7245,3.85,70.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8012,4.14,67.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9740,12.95,90.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7104,3.39,77.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9848,7.13,56.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2831,10.1,83.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4321,13.88,91.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1398,9.02,69.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6927,7.8,85.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9466,11.45,96.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8101,14.03,54.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4762,7.22,90.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5642,4.96,66.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6420,12.13,63.85
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4108,10.98,58.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7205,7.27,75.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6983,4.08,78.11
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9097,2.4,55.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5159,2.27,51.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9780,10.48,76.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4597,5.71,97.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9731,10.78,72.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1198,8.04,86.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6655,14.98,68.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9316,10.78,74.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7252,3.88,89.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1491,1.5,70.98
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2532,9.64,93.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4796,11.2,94.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6236,4.23,80.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7450,10.47,82.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8596,14.55,61.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8683,7.65,61.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9081,8.52,87.13
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2315,10.72,82.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1452,10.33,81.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5512,11.48,57.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2288,13.6,87.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7402,14.11,61.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4580,11.07,94.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8410,10.57,95.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7810,10.39,95.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2078,6.85,95.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3248,11.85,70.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1333,13.45,76.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3329,11.54,69.5
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9696,1.55,94.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8541,10.86,67.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5897,14.1,50.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6388,0.82,57.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4137,0.53,75.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4645,1.15,87.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5254,3.28,52.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8137,2.58,52.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9142,9.73,60.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5765,9.4,93.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2588,3.17,58.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9296,13.31,92.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7672,8.36,52.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2578,6.35,96.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1146,10.16,55.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9402,2.99,99.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9356,9.67,95.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5299,4.79,75.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7483,8.74,65.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5024,12.15,94.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8432,3.04,83.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4968,10.56,95.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6179,14.6,52.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8853,5.54,70.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9036,14.22,97.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1785,6.49,78.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5676,10.16,96.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1480,5.2,53.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2274,14.09,56.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5645,8.92,55.2
